D feed flow (stream 2)	E feed flow (stream 3)	A feed flow (stream 1)	A and C feed flow (stream 4)	Compressor recycle valve	Purge valve (stream 9)	Separator pot liquid flow (stream 10)	Stripper liquid product flow (stream 11)	Stripper steam valve	Reactor cooling water flow	Condenser cooling water flow	Agitator speed	Input Feed - A feed (stream 1)	Input Feed - D feed (stream 2)	Input Feed - E feed (stream 3)	Input Feed - A and C feed (stream 4)	Reactor feed rate (stream 6)	Reactor pressure	Reactor level	Reactor temperature	Separator - Product separator temperature	Separator - Product separator level	Separator - Product separator pressure	Separator - Product separator underflow (stream 10)	Stripper level	Stripper pressure	Stripper underflow (stream 11)	Stripper temperature	Stripper steam flow	Miscellaneous - Recycle flow (stream 8)	Miscellaneous - Purge rate (stream 9)	Miscellaneous - Compressor work	Miscellaneous - Reactor cooling water outlet temperature	Miscellaneous - Separator cooling water outlet temperature	Reactor Feed Analysis - Component A	Reactor Feed Analysis - Component B	Reactor Feed Analysis - Component C	Reactor Feed Analysis - Component D	Reactor Feed Analysis - Component E	Reactor Feed Analysis - Component F	Purge gas analysis - Component A	Purge gas analysis - Component B	Purge gas analysis - Component C	Purge gas analysis - Component D	Purge gas analysis - Component E	Purge gas analysis - Component F	Purge gas analysis - Component G	Purge gas analysis - Component H	Product analysis -  Component D	Product analysis - Component E	Product analysis - Component F	Product analysis - Component G	Product analysis - Component H	class
2.4692E-01	  3.6100E+03	  4.4433E+03	  9.8489E+00	  2.6853E+01	  4.3254E+01	  2.6629E+03	  7.1272E+01	  1.2032E+02	  3.3455E-01	  7.5152E+01	  4.9167E+01	  2.5767E+03	  2.2226E+01	  4.5406E+01	  3.0955E+03	  1.7039E+01	  6.4800E+01	  2.3038E+02	  3.2705E+02	  9.5621E+01	  6.9708E+01	  3.2188E+01	  8.8933E+00	  2.6383E+01	  6.8820E+00	  1.8776E+01	  1.6567E+00	  3.2958E+01	  1.3823E+01	  2.3978E+01	  1.2565E+00	  1.8579E+01	  2.2633E+00	  4.8436E+00	  2.2986E+00	  1.7866E-02	  8.3570E-01	  9.8577E-02	  5.3724E+01	  4.3828E+01	  6.3982E+01	  5.4770E+01	  2.4998E+01	  6.6651E+01	  1.4094E+01	  4.0377E+01	  3.5648E+01	  3.5903E+01	  4.7504E+01	  3.9202E+01	  3.3274E+01	  5.0000E+01	C00000000000000000000
2.4692E-01	  3.6100E+03	  4.4433E+03	  1.0130E+01	  2.7000E+01	  4.3237E+01	  2.6553E+03	  6.9850E+01	  1.2027E+02	  3.3681E-01	  7.2047E+01	  5.2079E+01	  2.5696E+03	  2.7855E+01	  4.9624E+01	  3.0794E+03	  2.1829E+01	  6.2851E+01	  2.4094E+02	  3.3216E+02	  9.5877E+01	  7.2216E+01	  3.2188E+01	  8.8933E+00	  2.6383E+01	  6.8820E+00	  1.8776E+01	  1.6567E+00	  3.2958E+01	  1.3823E+01	  2.3978E+01	  1.2565E+00	  1.8579E+01	  2.2633E+00	  4.8436E+00	  2.2986E+00	  1.7866E-02	  8.3570E-01	  9.8577E-02	  5.3724E+01	  4.3828E+01	  6.3982E+01	  5.4770E+01	  2.4998E+01	  6.8515E+01	  1.5503E+01	  4.0102E+01	  4.4218E+01	  4.5663E+01	  4.6742E+01	  3.7082E+01	  2.2488E+01	  5.0000E+01	C00000000000000000000
2.4696E-01	  3.6100E+03	  4.4433E+03	  1.0381E+01	  2.6981E+01	  4.2996E+01	  2.6950E+03	  6.8720E+01	  1.2043E+02	  3.3723E-01	  7.3810E+01	  5.2614E+01	  2.6143E+03	  2.9125E+01	  5.2376E+01	  3.1097E+03	  2.4919E+01	  6.1493E+01	  2.4710E+02	  3.3943E+02	  9.5457E+01	  7.7615E+01	  3.0688E+01	  8.2933E+00	  2.4883E+01	  6.2820E+00	  1.7276E+01	  1.5067E+00	  3.1458E+01	  1.3223E+01	  2.2478E+01	  6.5654E-01	  1.7079E+01	  2.1133E+00	  4.5436E+00	  1.9986E+00	  1.7866E-02	  8.3570E-01	  9.8577E-02	  5.3724E+01	  4.3828E+01	  6.3982E+01	  5.4770E+01	  2.5002E+01	  7.0124E+01	  1.8156E+01	  4.0049E+01	  4.5793E+01	  5.2033E+01	  4.6415E+01	  4.0665E+01	  1.5057E+01	  5.0000E+01	C00000000000000000000
2.4696E-01	  3.6100E+03	  4.4433E+03	  1.0538E+01	  2.6936E+01	  4.3020E+01	  2.7523E+03	  6.8195E+01	  1.2052E+02	  3.3694E-01	  7.7717E+01	  5.1755E+01	  2.6765E+03	  2.7760E+01	  5.3039E+01	  3.1668E+03	  2.5700E+01	  6.1628E+01	  2.4582E+02	  3.4256E+02	  9.4077E+01	  8.2199E+01	  3.0688E+01	  8.2933E+00	  2.4883E+01	  6.2820E+00	  1.7276E+01	  1.5067E+00	  3.1458E+01	  1.3223E+01	  2.2478E+01	  6.5654E-01	  1.7079E+01	  2.1133E+00	  4.5436E+00	  1.9986E+00	  1.7866E-02	  8.3570E-01	  9.8577E-02	  5.3724E+01	  4.3828E+01	  6.3982E+01	  5.4770E+01	  2.5002E+01	  7.1115E+01	  1.9719E+01	  4.0084E+01	  4.3264E+01	  5.3568E+01	  4.6698E+01	  4.2488E+01	  1.2792E+01	  5.0000E+01	C00000000000000000000
3.9983E-01	  3.7712E+03	  4.6023E+03	  1.0576E+01	  2.6891E+01	  4.3468E+01	  2.8069E+03	  6.8384E+01	  1.2070E+02	  2.6767E-01	  8.1102E+01	  5.0572E+01	  2.7339E+03	  2.5641E+01	  5.2275E+01	  3.2310E+03	  2.4940E+01	  6.2763E+01	  2.4027E+02	  3.4338E+02	  9.2562E+01	  8.3902E+01	  3.1227E+01	  8.3163E+00	  2.5443E+01	  6.1760E+00	  1.6796E+01	  1.4519E+00	  3.2536E+01	  1.3326E+01	  2.3508E+01	  7.5928E-01	  1.6355E+01	  1.9817E+00	  3.5929E+00	  1.4913E+00	  1.7866E-02	  8.3570E-01	  9.8577E-02	  5.3724E+01	  4.3828E+01	  6.6755E+01	  5.6673E+01	  4.0039E+01	  7.1320E+01	  1.9709E+01	  3.2032E+01	  3.9782E+01	  5.1799E+01	  4.7278E+01	  4.7920E+01	  1.4191E+01	  5.0000E+01	C00000000000000000000
3.9983E-01	  3.7712E+03	  4.6023E+03	  1.0540E+01	  2.6888E+01	  4.3864E+01	  2.8344E+03	  6.8969E+01	  1.2067E+02	  2.6861E-01	  8.2255E+01	  4.9733E+01	  2.7620E+03	  2.4021E+01	  5.1033E+01	  3.2670E+03	  2.3655E+01	  6.4004E+01	  2.3470E+02	  3.4453E+02	  9.1544E+01	  8.2717E+01	  3.1227E+01	  8.3163E+00	  2.5443E+01	  6.1760E+00	  1.6796E+01	  1.4519E+00	  3.2536E+01	  1.3326E+01	  2.3508E+01	  7.5928E-01	  1.6355E+01	  1.9817E+00	  3.5929E+00	  1.4913E+00	 -4.2134E-02	  7.7570E-01	  3.8577E-02	  5.0724E+01	  4.0828E+01	  6.6755E+01	  5.6673E+01	  4.0039E+01	  7.1068E+01	  1.9280E+01	  3.1918E+01	  3.7316E+01	  4.8925E+01	  4.7803E+01	  4.8569E+01	  1.7016E+01	  5.0000E+01	C00000000000000000000
3.6047E-01	  3.8161E+03	  4.6637E+03	  1.0480E+01	  2.6904E+01	  4.4114E+01	  2.8394E+03	  6.9648E+01	  1.2062E+02	  2.7843E-01	  8.1237E+01	  4.9538E+01	  2.7662E+03	  2.3538E+01	  5.0121E+01	  3.2760E+03	  2.2707E+01	  6.4732E+01	  2.3185E+02	  3.4647E+02	  9.1499E+01	  8.0427E+01	  3.1468E+01	  8.0967E+00	  2.5874E+01	  6.0038E+00	  1.6745E+01	  1.4423E+00	  3.2146E+01	  1.2872E+01	  2.3466E+01	  5.1831E-01	  1.6573E+01	  2.0231E+00	  4.1713E+00	  1.7807E+00	 -4.2134E-02	  7.7570E-01	  3.8577E-02	  5.0724E+01	  4.0828E+01	  6.7527E+01	  5.7409E+01	  3.6168E+01	  7.0671E+01	  1.9010E+01	  3.2660E+01	  3.6741E+01	  4.6815E+01	  4.8071E+01	  4.9144E+01	  1.9233E+01	  5.0000E+01	C00000000000000000000
3.6047E-01	  3.8161E+03	  4.6637E+03	  1.0433E+01	  2.6930E+01	  4.4165E+01	  2.8355E+03	  7.0206E+01	  1.2052E+02	  2.8019E-01	  7.9318E+01	  4.9806E+01	  2.7617E+03	  2.3941E+01	  4.9855E+01	  3.2696E+03	  2.2448E+01	  6.4797E+01	  2.3224E+02	  3.4951E+02	  9.1615E+01	  7.8765E+01	  3.1468E+01	  8.0967E+00	  2.5874E+01	  6.0038E+00	  1.6745E+01	  1.4423E+00	  3.2146E+01	  1.2872E+01	  2.3466E+01	  5.1831E-01	  1.6573E+01	  2.0231E+00	  4.1713E+00	  1.7807E+00	 -4.2134E-02	  7.7570E-01	  3.8577E-02	  5.0724E+01	  4.0828E+01	  6.7527E+01	  5.7409E+01	  3.6168E+01	  7.0374E+01	  1.9452E+01	  3.2445E+01	  3.7530E+01	  4.6199E+01	  4.8069E+01	  4.8082E+01	  1.9917E+01	  5.0000E+01	C00000000000000000000
3.4588E-01	  3.8817E+03	  4.6830E+03	  1.0400E+01	  2.6941E+01	  4.4079E+01	  2.8364E+03	  7.0662E+01	  1.2048E+02	  2.2487E-01	  7.7765E+01	  5.0157E+01	  2.7630E+03	  2.4546E+01	  5.0054E+01	  3.2646E+03	  2.2687E+01	  6.4411E+01	  2.3465E+02	  3.5309E+02	  9.1814E+01	  7.8210E+01	  3.1609E+01	  7.8568E+00	  2.5940E+01	  6.0228E+00	  1.6360E+01	  1.4203E+00	  3.2200E+01	  1.2727E+01	  2.3506E+01	  4.0925E-01	  1.5934E+01	  2.0419E+00	  4.6593E+00	  2.0717E+00	 -4.2134E-02	  7.7570E-01	  3.8577E-02	  5.0724E+01	  4.0828E+01	  6.8656E+01	  5.7640E+01	  3.4732E+01	  7.0154E+01	  2.0495E+01	  2.5975E+01	  3.8562E+01	  4.6658E+01	  4.7920E+01	  4.7948E+01	  1.9416E+01	  5.0000E+01	C00000000000000000000
3.4588E-01	  3.8817E+03	  4.6830E+03	  1.0370E+01	  2.6941E+01	  4.3975E+01	  2.8423E+03	  7.1069E+01	  1.2045E+02	  2.2576E-01	  7.6972E+01	  5.0360E+01	  2.7698E+03	  2.4908E+01	  5.0356E+01	  3.2645E+03	  2.3028E+01	  6.3909E+01	  2.3737E+02	  3.5608E+02	  9.1772E+01	  7.8425E+01	  3.1609E+01	  7.8568E+00	  2.5940E+01	  6.0228E+00	  1.6360E+01	  1.4203E+00	  3.2200E+01	  1.2727E+01	  2.3506E+01	  4.0925E-01	  1.5934E+01	  2.0419E+00	  4.6593E+00	  2.0717E+00	 -4.2134E-02	  7.7570E-01	  3.8577E-02	  5.0724E+01	  4.0828E+01	  6.8656E+01	  5.7640E+01	  3.4732E+01	  6.9963E+01	  2.1623E+01	  2.5866E+01	  3.9158E+01	  4.7359E+01	  4.7768E+01	  4.7865E+01	  1.8624E+01	  5.0000E+01	C00000000000000000000
